timestamp,day_of_year,month,day,weekday,event_order,event,new_data_arrived,retraining_on,retraining_complete,accuracy,loss,precision,recall,f1_score
2026-01-01 09:00:00,1,1,1,Thursday,1,steady_morning,0,0,0,0.7272,0.4877,0.7226,0.7297,0.7261
2026-01-01 12:00:00,1,1,1,Thursday,2,steady_midday,0,0,0,0.7254,0.5031,0.7081,0.7198,0.7139
2026-01-01 15:00:00,1,1,1,Thursday,3,steady_afternoon,0,0,0,0.7269,0.4956,0.7301,0.7178,0.7239
2026-01-01 17:00:00,1,1,1,Thursday,4,pre_arrival_check,0,0,0,0.7255,0.5192,0.7402,0.7233,0.7316
2026-01-01 18:00:00,1,1,1,Thursday,5,new_data_arrival,1,0,0,0.7110,0.5351,0.6968,0.7056,0.7012
2026-01-01 19:00:00,1,1,1,Thursday,6,retraining_triggered,0,1,0,0.7083,0.5273,0.6968,0.7120,0.7043
2026-01-01 21:00:00,1,1,1,Thursday,7,retraining_started,0,1,0,0.7077,0.5647,0.7048,0.7017,0.7032
2026-01-01 23:00:00,1,1,1,Thursday,8,retraining_complete,0,0,1,0.7402,0.5151,0.7400,0.7296,0.7348
2026-01-02 09:00:00,2,1,2,Friday,1,steady_morning,0,0,0,0.7178,0.5315,0.7132,0.7283,0.7207
2026-01-02 12:00:00,2,1,2,Friday,2,steady_midday,0,0,0,0.7175,0.5209,0.6999,0.7207,0.7101
2026-01-02 15:00:00,2,1,2,Friday,3,steady_afternoon,0,0,0,0.7157,0.5440,0.7089,0.7218,0.7153
2026-01-02 17:00:00,2,1,2,Friday,4,pre_arrival_check,0,0,0,0.7171,0.5224,0.7264,0.7087,0.7174
2026-01-02 18:00:00,2,1,2,Friday,5,new_data_arrival,1,0,0,0.7138,0.5234,0.7171,0.7235,0.7203
2026-01-02 19:00:00,2,1,2,Friday,6,retraining_triggered,0,1,0,0.7148,0.5115,0.7129,0.7037,0.7083
2026-01-02 21:00:00,2,1,2,Friday,7,retraining_started,0,1,0,0.7113,0.5321,0.7194,0.7248,0.7221
2026-01-02 23:00:00,2,1,2,Friday,8,retraining_complete,0,0,1,0.7311,0.5027,0.7411,0.7347,0.7379
2026-01-03 09:00:00,3,1,3,Saturday,1,steady_morning,0,0,0,0.7212,0.5150,0.7247,0.7359,0.7303
2026-01-03 12:00:00,3,1,3,Saturday,2,steady_midday,0,0,0,0.7218,0.5359,0.7137,0.7167,0.7152
2026-01-03 15:00:00,3,1,3,Saturday,3,steady_afternoon,0,0,0,0.7186,0.5331,0.7219,0.7133,0.7176
2026-01-03 17:00:00,3,1,3,Saturday,4,pre_arrival_check,0,0,0,0.7214,0.5121,0.7223,0.7310,0.7267
2026-01-03 18:00:00,3,1,3,Saturday,5,new_data_arrival,1,0,0,0.7094,0.5131,0.7062,0.7055,0.7058
2026-01-03 19:00:00,3,1,3,Saturday,6,retraining_triggered,0,1,0,0.7035,0.5414,0.7065,0.7061,0.7063
2026-01-03 21:00:00,3,1,3,Saturday,7,retraining_started,0,1,0,0.7047,0.5338,0.7023,0.6905,0.6964
2026-01-03 23:00:00,3,1,3,Saturday,8,retraining_complete,0,0,1,0.7267,0.5146,0.7232,0.7186,0.7209
2026-01-04 09:00:00,4,1,4,Sunday,1,steady_morning,0,0,0,0.7252,0.5357,0.7248,0.7135,0.7191
2026-01-04 12:00:00,4,1,4,Sunday,2,steady_midday,0,0,0,0.7288,0.5012,0.7363,0.7367,0.7365
2026-01-04 15:00:00,4,1,4,Sunday,3,steady_afternoon,0,0,0,0.7248,0.5278,0.7388,0.7108,0.7245
2026-01-04 17:00:00,4,1,4,Sunday,4,pre_arrival_check,0,0,0,0.7254,0.5098,0.7473,0.7155,0.7311
2026-01-04 18:00:00,4,1,4,Sunday,5,new_data_arrival,1,0,0,0.7109,0.5102,0.7119,0.7059,0.7089
2026-01-04 19:00:00,4,1,4,Sunday,6,retraining_triggered,0,1,0,0.7092,0.5425,0.7099,0.6985,0.7042
2026-01-04 21:00:00,4,1,4,Sunday,7,retraining_started,0,1,0,0.7053,0.5277,0.6961,0.7208,0.7082
2026-01-04 23:00:00,4,1,4,Sunday,8,retraining_complete,0,0,1,0.7281,0.4970,0.7249,0.7363,0.7305
2026-01-05 09:00:00,5,1,5,Monday,1,steady_morning,0,0,0,0.7318,0.5009,0.7341,0.7347,0.7344
2026-01-05 12:00:00,5,1,5,Monday,2,steady_midday,0,0,0,0.7317,0.4938,0.7504,0.7365,0.7434
2026-01-05 15:00:00,5,1,5,Monday,3,steady_afternoon,0,0,0,0.7319,0.5233,0.7384,0.7221,0.7302
2026-01-05 17:00:00,5,1,5,Monday,4,pre_arrival_check,0,0,0,0.7305,0.5274,0.7421,0.7223,0.7321
2026-01-05 18:00:00,5,1,5,Monday,5,new_data_arrival,1,0,0,0.7216,0.5508,0.7257,0.7298,0.7278
2026-01-05 19:00:00,5,1,5,Monday,6,retraining_triggered,0,1,0,0.7210,0.5096,0.7186,0.7135,0.7160
2026-01-05 21:00:00,5,1,5,Monday,7,retraining_started,0,1,0,0.7209,0.5282,0.7127,0.7201,0.7164
2026-01-05 23:00:00,5,1,5,Monday,8,retraining_complete,0,0,1,0.7392,0.5040,0.7420,0.7475,0.7447
2026-01-06 09:00:00,6,1,6,Tuesday,1,steady_morning,0,0,0,0.7415,0.4947,0.7330,0.7264,0.7297
2026-01-06 12:00:00,6,1,6,Tuesday,2,steady_midday,0,0,0,0.7429,0.4812,0.7515,0.7451,0.7483
2026-01-06 15:00:00,6,1,6,Tuesday,3,steady_afternoon,0,0,0,0.7426,0.4871,0.7443,0.7464,0.7453
2026-01-06 17:00:00,6,1,6,Tuesday,4,pre_arrival_check,0,0,0,0.7418,0.4840,0.7433,0.7423,0.7428
2026-01-06 18:00:00,6,1,6,Tuesday,5,new_data_arrival,1,0,0,0.7261,0.5338,0.7297,0.7317,0.7307
2026-01-06 19:00:00,6,1,6,Tuesday,6,retraining_triggered,0,1,0,0.7232,0.5066,0.7337,0.7094,0.7213
2026-01-06 21:00:00,6,1,6,Tuesday,7,retraining_started,0,1,0,0.7221,0.5295,0.7273,0.7272,0.7273
2026-01-06 23:00:00,6,1,6,Tuesday,8,retraining_complete,0,0,1,0.7470,0.5127,0.7855,0.7527,0.7688
2026-01-07 09:00:00,7,1,7,Wednesday,1,steady_morning,0,0,0,0.7408,0.4860,0.7517,0.7414,0.7465
2026-01-07 12:00:00,7,1,7,Wednesday,2,steady_midday,0,0,0,0.7446,0.4872,0.7375,0.7514,0.7444
2026-01-07 15:00:00,7,1,7,Wednesday,3,steady_afternoon,0,0,0,0.7412,0.4920,0.7434,0.7416,0.7425
2026-01-07 17:00:00,7,1,7,Wednesday,4,pre_arrival_check,0,0,0,0.7430,0.4694,0.7645,0.7494,0.7569
2026-01-07 18:00:00,7,1,7,Wednesday,5,new_data_arrival,1,0,0,0.7282,0.5281,0.7301,0.7216,0.7258
2026-01-07 19:00:00,7,1,7,Wednesday,6,retraining_triggered,0,1,0,0.7257,0.5256,0.7178,0.7246,0.7212
2026-01-07 21:00:00,7,1,7,Wednesday,7,retraining_started,0,1,0,0.7230,0.5158,0.7317,0.7110,0.7212
2026-01-07 23:00:00,7,1,7,Wednesday,8,retraining_complete,0,0,1,0.7525,0.5163,0.7478,0.7460,0.7469
2026-01-08 09:00:00,8,1,8,Thursday,1,steady_morning,0,0,0,0.7415,0.4977,0.7090,0.7312,0.7200
2026-01-08 12:00:00,8,1,8,Thursday,2,steady_midday,0,0,0,0.7420,0.4795,0.7295,0.7583,0.7436
2026-01-08 15:00:00,8,1,8,Thursday,3,steady_afternoon,0,0,0,0.7394,0.5253,0.7350,0.7407,0.7378
2026-01-08 17:00:00,8,1,8,Thursday,4,pre_arrival_check,0,0,0,0.7407,0.5024,0.7264,0.7524,0.7391
2026-01-08 18:00:00,8,1,8,Thursday,5,new_data_arrival,1,0,0,0.7276,0.5190,0.7178,0.7322,0.7250
2026-01-08 19:00:00,8,1,8,Thursday,6,retraining_triggered,0,1,0,0.7277,0.5102,0.7217,0.7284,0.7250
2026-01-08 21:00:00,8,1,8,Thursday,7,retraining_started,0,1,0,0.7249,0.5427,0.7260,0.7315,0.7287
2026-01-08 23:00:00,8,1,8,Thursday,8,retraining_complete,0,0,1,0.7483,0.4650,0.7359,0.7696,0.7524
2026-01-09 09:00:00,9,1,9,Friday,1,steady_morning,0,0,0,0.7372,0.5153,0.7403,0.7454,0.7428
